numInstances,exactMatch,hammingScore,exampleAccuracy,exampleF1
1,0.0,0.9565217391304348,0.0,0.0
2,0.0,0.9565217391304348,0.25,0.3333333333333333
3,0.0,0.9420289855072465,0.16666666666666666,0.2222222222222222
4,0.0,0.9239130434782609,0.125,0.16666666666666666
5,0.0,0.9217391304347826,0.1,0.13333333333333333
6,0.0,0.927536231884058,0.08333333333333333,0.1111111111111111
7,0.0,0.9316770186335404,0.07142857142857142,0.09523809523809523
8,0.0,0.9347826086956521,0.0625,0.08333333333333333
9,0.0,0.9178743961352657,0.05555555555555555,0.07407407407407407
10,0.0,0.9217391304347826,0.05,0.06666666666666667
11,0.0,0.9249011857707511,0.045454545454545456,0.0606060606060606
12,0.0,0.9239130434782609,0.041666666666666664,0.05555555555555555
13,0.0,0.9230769230769231,0.038461538461538464,0.05128205128205128
14,0.0,0.922360248447205,0.03571428571428571,0.047619047619047616
15,0.0,0.9246376811594204,0.03333333333333333,0.04444444444444444
16,0.0,0.9266304347826088,0.03125,0.041666666666666664
17,0.0,0.9258312020460359,0.029411764705882353,0.0392156862745098
18,0.0,0.927536231884058,0.027777777777777776,0.037037037037037035
19,0.0,0.9267734553775744,0.02631578947368421,0.03508771929824561
20,0.0,0.9282608695652174,0.025,0.03333333333333333
21,0.0,0.9296066252587991,0.023809523809523808,0.031746031746031744
22,0.0,0.9288537549407114,0.022727272727272728,0.0303030303030303
23,0.0,0.9300567107750473,0.021739130434782608,0.02898550724637681
24,0.0,0.931159420289855,0.020833333333333332,0.027777777777777776
25,0.0,0.9321739130434782,0.02,0.026666666666666665
26,0.0,0.9314381270903009,0.019230769230769232,0.02564102564102564
27,0.0,0.9307568438003221,0.018518518518518517,0.024691358024691357
28,0.0,0.9316770186335404,0.017857142857142856,0.023809523809523808
29,0.0,0.9325337331334332,0.017241379310344827,0.022988505747126436
30,0.0,0.9333333333333332,0.016666666666666666,0.02222222222222222
31,0.0,0.9326788218793828,0.016129032258064516,0.02150537634408602
32,0.0,0.9334239130434782,0.015625,0.020833333333333332
33,0.0,0.9341238471673253,0.015151515151515152,0.0202020202020202
34,0.0,0.9335038363171355,0.014705882352941176,0.0196078431372549
35,0.0,0.9341614906832297,0.014285714285714285,0.019047619047619046
