numInstances,exactMatch,hammingScore,exampleAccuracy,exampleF1
1,0.0,0.9565217391304348,0.0,0.0
2,0.0,0.9347826086956521,0.0,0.0
3,0.0,0.9420289855072465,0.0,0.0
4,0.0,0.9347826086956522,0.0,0.0
5,0.0,0.9304347826086957,0.0,0.0
6,0.0,0.9347826086956522,0.0,0.0
7,0.0,0.937888198757764,0.0,0.0
8,0.0,0.9402173913043478,0.0,0.0
9,0.0,0.9227053140096619,0.0,0.0
10,0.0,0.9260869565217392,0.0,0.0
11,0.0,0.9288537549407117,0.0,0.0
12,0.0,0.9275362318840581,0.0,0.0
13,0.0,0.9264214046822743,0.0,0.0
14,0.0,0.9254658385093169,0.0,0.0
15,0.0,0.9275362318840581,0.0,0.0
16,0.0,0.9293478260869567,0.0,0.0
17,0.0,0.9283887468030692,0.0,0.0
18,0.0,0.9299516908212561,0.0,0.0
19,0.0,0.9290617848970253,0.0,0.0
20,0.0,0.9304347826086957,0.0,0.0
21,0.0,0.9296066252587993,0.0,0.0
22,0.0,0.9268774703557313,0.0,0.0
23,0.0,0.9262759924385635,0.0,0.0
24,0.041666666666666664,0.9293478260869567,0.041666666666666664,0.041666666666666664
25,0.04,0.9286956521739133,0.04,0.04
26,0.038461538461538464,0.9264214046822745,0.038461538461538464,0.038461538461538464
27,0.037037037037037035,0.9243156199677941,0.037037037037037035,0.037037037037037035
28,0.03571428571428571,0.9239130434782611,0.03571428571428571,0.03571428571428571
29,0.034482758620689655,0.923538230884558,0.034482758620689655,0.034482758620689655
30,0.03333333333333333,0.9231884057971018,0.03333333333333333,0.03333333333333333
31,0.03225806451612903,0.924263674614306,0.04838709677419355,0.05376344086021505
32,0.0625,0.926630434782609,0.078125,0.08333333333333333
33,0.06060606060606061,0.9262187088274048,0.07575757575757576,0.0808080808080808
34,0.058823529411764705,0.9271099744245527,0.08823529411764706,0.0980392156862745
35,0.08571428571428572,0.9291925465838513,0.11428571428571428,0.1238095238095238
36,0.1111111111111111,0.9311594202898554,0.1388888888888889,0.14814814814814814
37,0.10810810810810811,0.9306698002350179,0.13513513513513514,0.14414414414414414
38,0.10526315789473684,0.9290617848970255,0.13157894736842105,0.14035087719298245
39,0.10256410256410256,0.9286510590858419,0.1282051282051282,0.13675213675213674
